,id,integralizacao,media_programacao,media_matematica,media_NE,media_NC,reprovacoes_programacao,reprovacoes_matematica,reprovacoes_NE,reprovacoes_NC,quantidade_trancamentos
23,5,1,5.316666666666666,6.266666666666667,,5.74,4.0,0.0,,4.0,0
24,5,2,5.52,,5.3,5.85,4.0,,3.0,1.0,0
25,5,3,5.7875000000000005,6.3,5.266666666666667,6.133333333333333,3.0,0.0,2.0,1.0,0
26,5,4,6.655555555555556,,6.75,6.466666666666666,3.0,,2.0,1.0,0
27,5,5,6.459999999999999,,6.459999999999999,,3.0,,3.0,,0
28,5,6,8.700000000000001,,9.1,8.549999999999999,0.0,,0.0,0.0,0
29,6,0,6.466666666666666,4.5,,5.975,1.0,1.0,,2.0,0
30,6,1,6.05,6.866666666666667,,6.29,4.0,0.0,,4.0,0
31,6,2,6.039999999999999,,5.7,6.125,2.0,,1.0,1.0,0
32,6,3,6.840000000000001,,7.3,5.0,1.0,,0.0,1.0,0
33,6,4,6.766666666666666,,6.839999999999999,6.4,1.0,,1.0,0.0,0
34,6,5,7.08,5.3,7.833333333333333,5.733333333333333,1.0,1.0,0.0,2.0,0
35,6,7,8.485714285714286,,8.225,8.75,0.0,,0.0,0.0,0
36,7,0,5.866666666666667,1.8,,4.85,1.0,1.0,,2.0,0
37,7,1,5.683333333333334,7.666666666666667,,6.470000000000001,4.0,0.0,,4.0,0
38,7,2,6.116666666666667,,4.75,6.8,4.0,,2.0,2.0,0
39,7,3,5.572222222222222,6.2,5.554545454545455,5.674999999999999,12.0,0.0,7.0,5.0,0
40,7,4,5.9,,5.8999999999999995,6.766666666666667,6.0,,5.0,1.0,0
41,8,0,3.9500000000000006,3.175,,3.8733333333333335,7.0,4.0,,12.0,2
42,8,1,4.615,5.15,4.03,5.191666666666667,15.0,2.0,9.0,8.0,2
43,8,2,3.9599999999999995,,2.94,5.566666666666667,7.0,,4.0,3.0,2
44,8,3,6.055555555555556,,6.416666666666667,5.333333333333333,6.0,,3.0,3.0,2
45,8,4,4.788888888888889,,5.04,4.475,4.0,,2.0,2.0,2
46,8,5,8.45,,8.2,8.7,0.0,,0.0,0.0,2
47,9,0,2.7874999999999996,3.6,,3.058333333333333,6.0,4.0,,10.0,1
48,10,0,7.0,5.4,,6.6000000000000005,0.0,1.0,,1.0,0
49,10,1,7.1,6.5,,6.659999999999999,1.0,1.0,,2.0,0
50,10,2,6.5125,7.3,5.4,6.75,4.0,0.0,1.0,3.0,0
51,10,3,5.42,,5.275,6.0,4.0,,3.0,1.0,0
52,10,4,5.6428571428571415,,5.42,6.199999999999999,3.0,,2.0,1.0,0
53,10,6,6.633333333333334,,6.833333333333333,6.942857142857143,4.0,,2.0,2.0,0
54,11,0,6.566666666666666,5.9,,6.4,1.0,1.0,,2.0,1
55,11,1,6.449999999999999,7.05,,6.8,1.0,0.0,,1.0,1
56,11,2,7.199999999999999,9.5,,7.659999999999999,0.0,0.0,,0.0,1
57,11,3,6.609999999999999,,6.4399999999999995,6.779999999999999,4.0,,3.0,1.0,1
58,11,4,6.279999999999999,,6.25,6.4,1.0,,1.0,0.0,1
59,11,5,5.366666666666667,,5.24,6.0,4.0,,4.0,0.0,1
60,11,6,5.488888888888889,,5.116666666666666,6.8,4.0,,3.0,1.0,1
61,12,0,6.666666666666667,5.3,,6.325,1.0,1.0,,2.0,0
62,12,1,2.3692307692307693,5.633333333333333,1.4000000000000001,3.6000000000000005,12.0,1.0,3.0,10.0,0
63,13,0,2.642857142857143,3.25,,3.225,6.0,3.0,,9.0,4
64,14,0,6.671428571428571,,4.5,7.033333333333334,3.0,,1.0,2.0,0
65,14,1,5.766666666666666,,5.225,6.85,4.0,,3.0,1.0,0
66,14,2,6.8,,6.840000000000001,6.6,1.0,,1.0,0.0,0
67,14,3,7.9,,7.9,,0.0,,0.0,,0
68,14,5,7.0857142857142845,,7.766666666666666,7.08,2.0,,0.0,2.0,0
69,15,0,7.8999999999999995,,,7.8999999999999995,0.0,,,0.0,0
70,15,1,5.708333333333333,,5.3,6.220000000000001,7.0,,6.0,2.0,0
71,15,2,7.62,,8.833333333333334,5.8,1.0,,0.0,1.0,0
72,15,3,7.25,,7.575,7.733333333333333,2.0,,1.0,1.0,0
73,15,4,6.171428571428572,,5.900000000000001,6.375,3.0,,1.0,2.0,0
