%Cálculo 1,%Lógica,%Matemática Discreta,%Física,%Cálculo 2,Cálculo 1,Lógica,Matemática Discreta,Física,Cálculo 2,Classe
0.0,0.0,1.0,0.9692307692307692,0.9508196721311475,0.3810563380281689,0.2985833333333333,0.4249264705882352,0.418968253968254,0.4771551724137931,0.0
1.0,0.03278688524590164,0.03278688524590164,1.0,0.0,0.4398333333333332,0.2708333333333334,0.2708333333333334,0.4870634920634919,0.24427419354838711,0.0
0.8857142857142857,0.1388888888888889,0.1388888888888889,0.0,0.0,0.4539516129032258,0.2703472222222223,0.2703472222222223,0.3409740593084288,0.33534471294489787,0.0
0.0,0.0,0.0,0.0,0.0,0.4439516129032259,0.2889583333333333,0.2889583333333333,0.18061403508771937,0.33534471294489787,0.0
1.0,0.03278688524590164,0.03278688524590164,1.0,0.0,0.5248333333333333,0.30116666666666675,0.30116666666666675,0.422063492063492,0.36854166666666677,0.0
1.0,0.9692307692307692,1.0,0.9508196721311475,0.8857142857142857,0.5599264705882352,0.543968253968254,0.46020208467210266,0.5971551724137931,0.6289516129032258,1.0
1.0,0.0,0.0,1.0,0.03278688524590164,0.45992647058823516,0.16246153846153852,0.16246153846153852,0.44483333333333325,0.23116666666666671,0.0
0.8382352941176471,0.8450704225352113,0.9230769230769231,1.0,1.0,0.6706140350877193,0.5431666666666667,0.4885833333333333,0.5999264705882352,0.5598333333333332,1.0
0.0,0.0,0.0,0.0,0.9692307692307692,0.2028873239436619,0.21615384615384617,0.21615384615384617,0.21615384615384617,0.47896825396825393,0.0
0.0,0.0,0.0,0.0,1.0,0.20284722222222223,0.20284722222222223,0.23561403508771941,0.3409740593084288,0.4199264705882352,0.0
0.0,0.0,0.0,0.0,0.0,0.33215517241379316,0.3233610900480142,0.33909862229237264,0.3409740593084288,0.33534471294489787,0.0
0.0,0.0,0.0,0.0,0.11267605633802817,0.4489516129032259,0.3233610900480142,0.35220588235294126,0.35220588235294126,0.24470588235294116,0.0
0.9692307692307692,1.0,0.9508196721311475,0.0,0.0,0.5689682539682539,0.5648333333333333,0.42715517241379314,0.32706349206349195,0.21145833333333333,0.0
0.0,0.0,0.0,0.0,0.0,0.3454095018301064,0.17561403508771942,0.33909862229237264,0.23153846153846155,0.23153846153846155,0.0
0.0,0.0,0.01639344262295082,0.01639344262295082,0.0,0.21896825396825398,0.3898333333333332,0.18508196721311476,0.18508196721311476,0.322063492063492,0.0
0.9508196721311475,1.0,0.11428571428571428,0.11428571428571428,0.0,0.4221551724137932,0.5120634920634919,0.33521428571428574,0.33521428571428574,0.45061403508771936,0.0
0.11428571428571428,0.1388888888888889,0.1388888888888889,0.0,0.0,0.32735714285714285,0.4789583333333334,0.4789583333333334,0.27061403508771936,0.1735833333333333,0.0
0.1388888888888889,0.0,0.0,1.0,1.0,0.23159722222222223,0.17286764705882363,0.17286764705882363,0.46996564357498527,0.5499264705882352,1.0
0.9508196721311475,0.0,0.0,0.1388888888888889,0.0,0.4121551724137931,0.302063492063492,0.4039516129032258,0.380625,0.26713235294117654,0.0
0.0,0.0,0.0,0.0,0.0,0.3454095018301064,0.11215517241379316,0.33909862229237264,0.3409740593084288,0.23029411764705893,0.0
1.0,0.0,1.0,1.0,0.0,0.4805151030758773,0.4385833333333333,0.46020208467210266,0.46996564357498527,0.43900383462312714,1.0
0.0,0.0,0.0,0.0,0.0,0.4381666666666666,0.3233610900480142,0.33909862229237264,0.3409740593084288,0.33534471294489787,0.0
0.0,0.0,0.0,0.0,0.0,0.38992647058823515,0.15607692307692309,0.15607692307692309,0.3998333333333332,0.20206349206349197,0.0
0.0,0.0,0.0,0.16176470588235295,0.8450704225352113,0.3719285714285714,0.34243055555555557,0.34243055555555557,0.3102941176470589,0.5981666666666666,0.0
1.0,0.9508196721311475,1.0,0.8857142857142857,0.8382352941176471,0.5898333333333332,0.5771551724137932,0.5620634920634919,0.47895161290322574,0.6756140350877196,1.0
0.0,0.0,0.0,1.0,0.0,0.3279861111111111,0.2705882352941178,0.2705882352941178,0.46996564357498527,0.2999264705882352,1.0
0.0,0.9230769230769231,0.0,0.9692307692307692,0.03278688524590164,0.21911764705882347,0.5085833333333334,0.3749264705882352,0.608968253968254,0.3611666666666667,0.0
0.0,0.0,0.0,0.0,1.0,0.3454095018301064,0.24061403508771936,0.33909862229237264,0.17710937499999999,0.5299264705882352,0.0
1.0,0.9508196721311475,0.0,0.8857142857142857,0.1388888888888889,0.5048333333333332,0.44715517241379316,0.22706349206349197,0.5039516129032258,0.25020833333333337,0.0
0.0,0.0,0.0,0.9230769230769231,0.0,0.2022535211267605,0.2022535211267605,0.2022535211267605,0.48358333333333337,0.39896825396825397,0.0
0.0,0.0,0.0,0.0,0.0,0.3454095018301064,0.2099264705882352,0.17396825396825397,0.3409740593084288,0.33534471294489787,0.0
0.0,0.0,0.0,0.0,0.0,0.39215517241379316,0.21706349206349196,0.26821428571428574,0.26821428571428574,0.2536805555555556,0.0
0.0,0.9508196721311475,1.0,0.0,0.1388888888888889,0.37483333333333324,0.42715517241379314,0.462063492063492,0.4039516129032258,0.4321527777777777,1.0
0.0,0.0,0.0,0.0,0.0,0.23358333333333334,0.12992647058823517,0.17896825396825394,0.3409740593084288,0.16532786885245906,0.0
0.8611111111111112,0.0,0.0,0.0,0.0,0.5392741935483871,0.3233610900480142,0.33909862229237264,0.3409740593084288,0.38896825396825396,0.0
0.03076923076923077,0.03076923076923077,1.0,0.03278688524590164,1.0,0.2824615384615385,0.2824615384615385,0.4498333333333332,0.23666666666666672,0.38206349206349194,0.0
